latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
17.75904,-92.91803,321.99,2.18,1.43,2025-10-27,0338,T,100,6.1NRT,293.99,55.45,N
17.75978,-92.92379,315.56,2.18,1.43,2025-10-27,0338,T,91,6.1NRT,293.94,37.65,N
17.8966,-92.481,306.09,2.37,1.49,2025-10-27,0338,T,67,6.1NRT,294.44,17.72,N
17.89438,-92.50278,305.52,2.36,1.48,2025-10-27,0338,T,65,6.1NRT,293.96,16.77,N
17.84301,-93.12038,362.81,2.11,1.41,2025-10-27,0338,T,100,6.1NRT,295.73,276.15,N
17.84096,-93.13972,305.56,2.1,1.41,2025-10-27,0338,T,65,6.1NRT,294.28,15.09,N
17.89887,-93.18559,332.44,2.09,1.41,2025-10-27,0338,T,100,6.1NRT,295.27,89.74,N
17.88907,-93.18999,308.27,2.09,1.41,2025-10-27,0338,T,74,6.1NRT,294.61,19.95,N
17.90349,-93.17212,310.86,2.09,1.41,2025-10-27,0338,T,81,6.1NRT,294.81,24.12,N
17.90147,-93.19147,323.21,2.09,1.41,2025-10-27,0338,T,100,6.1NRT,294.94,56.13,N
18.09562,-94.04907,309.35,1.81,1.32,2025-10-27,0338,T,77,6.1NRT,294.85,18.53,N
18.42073,-93.18565,307.31,2.12,1.42,2025-10-27,0338,T,71,6.1NRT,296.51,14.91,N
18.64603,-92.1716,309.63,2.56,1.54,2025-10-27,0338,T,78,6.1NRT,295.24,26.16,N
18.50696,-96.1454,304.28,1.31,1.14,2025-10-27,0338,T,59,6.1NRT,291.8,9.03,N
17.93541,-102.203,316.78,1.2,1.09,2025-10-27,0338,T,94,6.1NRT,294.37,16.98,N
19.40124,-92.03374,308.88,2.69,1.57,2025-10-27,0338,T,63,6.1NRT,295.04,22.56,N
19.39867,-92.05866,307.63,2.68,1.57,2025-10-27,0338,T,55,6.1NRT,295.04,18.8,N
19.39341,-92.03936,318.69,2.69,1.57,2025-10-27,0338,T,96,6.1NRT,295.26,56.44,N
19.17175,-98.32129,312.69,1.05,1.02,2025-10-27,0338,T,85,6.1NRT,284.03,15.76,N
20.57714,-101.17057,307.2,1.03,1.02,2025-10-27,0338,T,71,6.1NRT,287.44,9.01,N
49.93714,-103.17038,306.36,1.35,1.15,2025-10-27,0347,T,68,6.1NRT,273.55,19.56,N
25.96311,-105.35054,300.84,1.39,1.17,2025-10-27,0340,T,34,6.1NRT,289.6,7.89,N
28.46143,-99.3012,309.48,1.15,1.07,2025-10-27,0342,T,77,6.1NRT,295.4,9.35,N
28.46611,-99.30827,306.51,1.15,1.07,2025-10-27,0342,T,68,6.1NRT,295.29,7.72,N
31.80451,-100.0211,301.64,1.16,1.07,2025-10-27,0342,T,43,6.1NRT,287.35,7.73,N
29.28735,-82.18229,301.31,1,1,2025-10-27,0843,A,40,6.1NRT,289.13,5.24,N
29.2786,-82.18394,322.72,1,1,2025-10-27,0843,A,100,6.1NRT,289.99,21.35,N
29.27713,-82.17394,315.93,1,1,2025-10-27,0843,A,92,6.1NRT,289.56,14.8,N
17.90913,-93.1684,313.09,3.23,1.7,2025-10-27,0848,A,86,6.1NRT,292.04,62.58,N
17.8942,-93.17001,302.9,3.23,1.7,2025-10-27,0848,A,52,6.1NRT,291.69,24.95,N
17.84342,-93.11632,344.74,3.19,1.69,2025-10-27,0848,A,100,6.1NRT,291.54,280.01,N
17.84045,-93.08734,310.66,3.18,1.69,2025-10-27,0848,A,81,6.1NRT,291.12,54.69,N
17.84219,-93.12139,339.47,3.19,1.69,2025-10-27,0848,A,100,6.1NRT,291.03,229.11,N
17.83902,-93.09247,321.94,3.18,1.69,2025-10-27,0848,A,100,6.1NRT,291.32,106.29,N
17.76172,-92.92838,302.02,3.08,1.67,2025-10-27,0848,A,46,6.1NRT,287.21,27.59,N
17.75875,-92.90038,305.9,3.06,1.66,2025-10-27,0848,A,66,6.1NRT,287.47,38.62,N
17.75857,-92.90829,311.82,3.06,1.66,2025-10-27,0848,A,83,6.1NRT,288.11,55.8,N
47.76705,-92.12746,300.99,1.18,1.08,2025-10-27,1539,T,41,6.1NRT,281.8,8.92,D
43.60305,-93.27245,300.82,1.17,1.08,2025-10-27,1541,T,40,6.1NRT,283.11,7.18,D
41.63351,-87.13098,304.83,1.19,1.08,2025-10-27,1541,T,52,6.1NRT,288.38,9.43,D
42.00991,-90.74773,302.75,1,1,2025-10-27,1541,T,53,6.1NRT,285.89,6.12,D
41.12033,-91.67088,309.28,1.01,1.01,2025-10-27,1541,T,68,6.1NRT,284.44,10.96,D
40.69882,-89.17885,301.54,1.05,1.02,2025-10-27,1541,T,48,6.1NRT,286.19,5.48,D
33.1314,-95.55488,309.58,1.13,1.06,2025-10-27,1544,T,67,6.1NRT,292.56,8.52,D
33.4012,-99.5519,308.72,1.92,1.35,2025-10-27,1544,T,66,6.1NRT,289.89,17.06,D
32.96803,-95.64297,303.89,1.13,1.06,2025-10-27,1544,T,48,6.1NRT,292.2,4.61,D
32.88256,-95.337,306.07,1.1,1.05,2025-10-27,1544,T,53,6.1NRT,292.35,6.26,D
32.95142,-97.91741,303.92,1.49,1.2,2025-10-27,1544,T,52,6.1NRT,292.44,7.32,D
32.40622,-94.70768,303.72,1.04,1.02,2025-10-27,1544,T,54,6.1NRT,292.48,4.41,D
32.14917,-95.2821,304.06,1.08,1.04,2025-10-27,1544,T,55,6.1NRT,291.91,4.92,D
31.87786,-94.47992,304.5,1.02,1.01,2025-10-27,1544,T,59,6.1NRT,293.2,4.67,D
31.94095,-98.11925,316.82,1.48,1.2,2025-10-27,1544,T,75,6.1NRT,291.45,23.36,D
31.4514,-94.38914,308.62,1.02,1.01,2025-10-27,1544,T,67,6.1NRT,291.89,7.85,D
31.84012,-98.03155,325.36,1.46,1.19,2025-10-27,1544,T,83,6.1NRT,294.09,37.05,D
31.8296,-98.03304,340.69,1.46,1.19,2025-10-27,1544,T,92,6.1NRT,294.06,74.59,D
31.82799,-98.018,310.14,1.46,1.19,2025-10-27,1544,T,66,6.1NRT,293.75,13.47,D
